643537	NEXT_STEP	643538
197624	NEXT_STATE	197626
444756	PROOF	444932
149986	NEXT_STATE	149987
103823	NEXT_STATE	103824
61831	REF2	508181
397595	NEXT_STATE	397596
32653	REF10	478743
485877	NEXT_STEP	485879
7543	REF1	27827
627194	NEXT_STATE	627195
184418	REF0	619258
613102	REF0	613101
55387	PROOF	55426
353763	NEXT_STATE	353764
647688	NEXT_STATE	647689
649939	NEXT_STEP	649940
514068	NEXT_STATE	514069
43361	REF3	43481
361492	REF0	472314
485092	NEXT_STEP	485093
59039	REF1	329325
519278	NEXT_STEP	519279
229880	PROOF	230373
274322	NEXT_STATE	274323
455734	NEXT_STATE	455735
419595	NEXT_STEP	419596
213913	REF1	213912
138490	REF0	435370
154259	NEXT_STEP	154260
596893	NEXT_STEP	596894
318394	NEXT_STATE	318395
303149	NEXT_STEP	303150
534877	NEXT_STATE	534878
139555	NEXT_STEP	139556
568731	NEXT_STATE	568732
607963	NEXT_STEP	607965
62998	NEXT_STEP	62999
123932	REF1	124235
515149	NEXT_STEP	515150
634658	PROOF	634701
347952	NEXT_STATE	347953
240225	NEXT_STEP	240227
22248	REF0	25252
206601	NEXT_STEP	206602
368825	NEXT_STATE	368826
25647	NEXT_STEP	25648
14407	REF3	396635
141329	NEXT_STATE	141330
187391	REF0	187432
437716	NEXT_STATE	437717
117327	NEXT_STATE	117328
9118	NEXT_STATE	9119
207560	PROOF	207592
371517	REF0	522890
308492	PROOF	308551
407992	NEXT_STEP	407995
36	REF0	227124
6421	REF0	39201
151586	NEXT_STEP	151587
359539	PROOF	359561
40844	REF0	384378
12058	REF2	612837
495781	NEXT_STATE	495782
253807	NEXT_STEP	253808
242823	NEXT_STEP	242824
296654	NEXT_STEP	296655
8253	REF0	280596
276282	NEXT_STATE	276283
288521	NEXT_STATE	288522
322226	NEXT_STATE	322227
499272	PROOF	499289
468244	PROOF	468340
465503	NEXT_STATE	465505
29615	NEXT_STATE	29616
351642	NEXT_STATE	351643
644870	PROOF	644930
318643	NEXT_STEP	318644
216775	PROOF	217217
166898	NEXT_STEP	166899
572592	NEXT_STATE	572594
639015	REF2	639092
207367	REF0	207498
59445	REF1	109049
216288	NEXT_STATE	216289
390533	NEXT_STATE	390534
201420	REF1	306641
36067	NEXT_STATE	36068
308316	NEXT_STATE	308317
194917	REF3	194916
179335	NEXT_STATE	179336
59517	REF2	95067
14258	REF3	361322
145294	NEXT_STATE	145295
266104	NEXT_STEP	266105
159194	NEXT_STATE	159195
15916	REF1	175276
122754	NEXT_STATE	122756
129621	REF1	251538
628	REF3	42170
134906	NEXT_STATE	134907
23172	NEXT_STATE	23173
459698	NEXT_STATE	459700
499315	REF0	510179
262932	NEXT_STATE	262933
146088	NEXT_STEP	146091
357744	NEXT_STEP	357745
234917	REF0	274826
409333	NEXT_STEP	409335
412978	NEXT_STATE	412979
257750	NEXT_STEP	257754
107371	REF1	179186
99018	NEXT_STATE	99019
108391	NEXT_STEP	108392
12138	REF2	12177
555690	NEXT_STEP	555691
259490	NEXT_STATE	259491
117167	REF1	124110
344705	REF0	344710
16401	REF0	312726
454557	REF0	454556
293784	REF0	297274
398617	NEXT_STEP	398619
339151	NEXT_STATE	339152
52692	REF0	472486
12276	REF0	297712
415629	NEXT_STATE	415631
217203	NEXT_STATE	217205
493872	NEXT_STEP	493873
369063	NEXT_STATE	369064
437216	REF1	459204
453816	NEXT_STATE	453817
56943	PROOF	57196
625691	NEXT_STEP	625692
623411	NEXT_STATE	623412
367311	NEXT_STATE	367312
73957	REF1	260613
257220	REF0	257219
225373	NEXT_STEP	225374
247113	NEXT_STATE	247114
15701	NEXT_STATE	15702
512091	REF2	512118
209557	REF2	225763
86877	NEXT_STEP	86893
321301	NEXT_STATE	321302
50029	NEXT_STATE	50030
29324	REF0	131071
121885	NEXT_STATE	121886
541821	REF0	541909
91796	NEXT_STEP	91808
218475	NEXT_STATE	218476
521249	NEXT_STATE	521250
112918	NEXT_STEP	112919
559788	NEXT_STATE	559790
364481	NEXT_STATE	364482
383979	NEXT_STATE	383980
91872	REF0	91941
319541	NEXT_STATE	319542
121	REF1	619956
149369	PROOF	149508
399259	NEXT_STEP	399262
201016	NEXT_STATE	201017
9422	REF2	256758
176140	REF1	176261
397216	PROOF	397459
473420	REF1	473419
224893	NEXT_STATE	224894
381984	REF0	382039
576	REF2	552780
158974	NEXT_STEP	158975
14511	REF1	382554
7807	NEXT_STATE	7810
295561	NEXT_STEP	295562
180349	NEXT_STEP	180350
366097	NEXT_STATE	366098
398765	PROOF	398785
93215	NEXT_STATE	93216
7695	REF1	373924
1877	REF1	458157
48766	REF0	88207
33009	NEXT_STEP	33010
574008	NEXT_STATE	574009
129264	REF0	129263
163300	NEXT_STEP	163301
635238	NEXT_STATE	635239
460599	NEXT_STEP	460600
11418	REF0	178429
195962	NEXT_STATE	195963
199615	NEXT_STATE	199616
215419	NEXT_STEP	215420
425542	NEXT_STATE	425543
2198	REF1	566665
49921	REF1	604948
543855	NEXT_STEP	543856
308536	NEXT_STATE	308537
411329	NEXT_STATE	411330
246850	REF0	348276
335131	NEXT_STEP	335139
258341	NEXT_STATE	258342
237817	NEXT_STATE	237818
52322	PROOF	52358
427596	PROOF	428194
468735	NEXT_STATE	468736
15920	REF0	459593
2622	NEXT_STATE	2623
180379	NEXT_STATE	180380
506797	PROOF	506838
38880	REF9	165439
87695	NEXT_STATE	87697
404312	REF1	404373
21443	REF0	477119
376437	PROOF	377272
232155	NEXT_STATE	232156
516755	PROOF	516783
159937	NEXT_STATE	159939
392985	NEXT_STATE	392986
427499	NEXT_STATE	427501
579771	NEXT_STATE	579772
459848	NEXT_STATE	459849
441225	NEXT_STEP	441226
226481	REF1	226480
612703	NEXT_STEP	612706
389957	NEXT_STATE	389958
196246	NEXT_STEP	196247
158565	NEXT_STATE	158566
434562	NEXT_STATE	434563
25728	REF1	165799
310736	NEXT_STEP	310737
573959	NEXT_STEP	573962
176132	PROOF	176163
599585	NEXT_STEP	599586
325000	PROOF	325248
711	REF1	27967
264706	NEXT_STEP	264707
643468	NEXT_STATE	643471
622103	NEXT_STATE	622104
62892	NEXT_STATE	62894
126921	NEXT_STATE	126922
33701	PROOF	33915
402213	NEXT_STEP	402214
535001	NEXT_STEP	535002
330034	REF0	336478
153715	PROOF	317270
528634	NEXT_STEP	528636
427624	REF0	428987
595629	NEXT_STATE	595630
1751	REF0	215199
522127	REF0	522126
355710	REF0	356353
157862	NEXT_STEP	157865
244614	NEXT_STEP	244615
388646	NEXT_STEP	388647
623604	NEXT_STATE	623605
612216	NEXT_STATE	612217
176614	NEXT_STEP	176615
600906	NEXT_STATE	600907
6279	NEXT_STATE	6280
26261	REF0	219673
207007	NEXT_STEP	207008
412874	NEXT_STATE	412875
423329	NEXT_STEP	423330
591140	NEXT_STATE	591141
